symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row,yield_momentum,mcap_to_tvl,risk_score,yield_premium,snapshot_source_file,snapshot_symbol,snapshot_status,snapshot_regular_market_time,snapshot_market_cap_usd,snapshot_price_usd,snapshot_change_pct,snapshot_volume_usd,snapshot_average_volume_usd,snapshot_52w_high_usd,snapshot_52w_low_usd,snapshot_circulating_supply,snapshot_website,snapshot_exchange,quote_status,quote_source_file,quote_symbol,quote_as_of_epoch,quote_as_of_iso,quote_fields_present,quote_completeness_pct,quote_file,quote_join_policy,catalog_row_policy,catalog_generated
COMP,compound,#00d395,C,1.84,2.08,1.94,1.71,2.26,2.42,2.35,2.36,1.89,2.35,0.46,0,governance comp distribution,defi,321499053.0,429067042.0,429067042.0,520000000,61.74,31.09,32.78,32.78,42.5,5.44,29.65,96.0,89.8,13.06,49.72,280.7,53659.0,4326579.0,120000000,12200000,2.5,0.82,-45.62,-33.03,-0.115,0.39,1.266,1.153,0.616,0.747,56.9,-12.5,25.25,0.25,0.083,0.87,2.16,0,2.617,0.02,19.0,yield_data.csv,56,0.02075,4.333333333,291.5046154,1.48,,,canonical_only,,,,,,,,,,,,unavailable,,COMP-USD,,,0,0,csv/quotes/COMP.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
CRO,cronos,#002d72,C,5.08,4.46,5.03,4.86,4.95,4.66,4.49,4.99,4.86,4.77,-0.09,0,exchange-backed chain staking,payments,1620225850.0,2289795866.0,2289795866.0,2800000000,72.82,0.0609,0.0558,0.0558,0.095,-8.37,70.25,55.0,48.3,79.97,124.22,55.33,983744.0,2612423.0,450000000,29400000000,3.5,1.03,-19.85,-16.18,5.2,5.735,0.921,0.993,0.574,0.63,43.4,-8.29,-24.82,0.23,-0.018,-0.64,4.84,0,9.876,-0.07,61.35,yield_data.csv,52,-0.00414,6.222222222,7.756634699,5.41,,,canonical_only,,,,,,,,,,,,unavailable,,CRO-USD,,,0,0,csv/quotes/CRO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
CRV,curve,#ff5e5e,C,3.14,2.79,3.67,3.68,3.13,3.39,3.38,3.63,3.32,3.38,0.06,0,veCRV gauge voting yield,defi,227052417.0,254464114.0,254464114.0,380000000,67.36,0.3155,0.2841,0.2841,0.42,-9.95,47.84,96.0,96.92,5.43,26.75,392.63,1563543.0,6146084.0,250000000,905000000,6.0,3.65,-87.09,-37.12,1.375,1.424,1.37,1.518,0.533,0.604,50.4,13.18,-32.1,0.3,0.059,-1.18,3.89,1,3.487,-0.54,27.11,yield_data.csv,54,0.0177,1.52,93.24466292,4.56,,,canonical_only,,,,,,,,,,,,unavailable,,CRV-USD,,,0,0,csv/quotes/CRV.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
DOT,polkadot,#e6007a,D,11.91,11.35,10.78,11.68,11.68,11.51,12.1,11.24,11.43,11.63,0.2,0,nominated PoS with nomination pools,layer1,833538909.0,1031255611.0,1031255611.0,1396147712,67.5,0.5743,0.6737,0.6737,0.82,17.31,21.72,65.0,57.39,51.3,86.9,69.4,3995503.0,6097337.0,600000000,1696793600,7.5,1.24,-29.02,-21.22,14.508,16.78,1.167,1.027,0.666,0.87,36.9,10.8,51.09,0.39,0.015,2.78,10.97,0,20.265,-0.25,100,yield_data.csv,9,0.00585,2.326912853,3.991306913,8.85,csv/table-1786043414639.csv,DOT-USD,source_snapshot,1786043333,1396147712,0.8223,-2.9848945,69310648,107426330,4.874237,0.748359,1696793600,https://polkadot.com,CCC,source_snapshot,csv/table-1786043414639.csv,DOT-USD,1786043333,2026-08-06T19:08:53Z,83,98.8,csv/quotes/DOT.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
EIGEN,eigenlayer,#1a1a2e,E,3.58,3.68,3.04,3.19,3.62,3.59,3.9,3.4,3.37,3.63,0.26,0,restaking AVS rewards,infrastructure,574832460.0,587040028.0,587040028.0,680000000,18.3,1.04,1.08,1.08,1.45,3.85,34.26,90.0,83.33,45.19,58.65,29.79,2333019.0,7383560.0,7250000000,469000000,5.0,3.56,-59.43,-18.92,1.522,1.956,1.253,1.281,0.548,0.656,57.6,-17.2,38.14,0.26,0.023,3.99,3.44,1,4.356,-0.65,33.05,yield_data.csv,42,0.00598,0.09379310345,53.38061861,-0.36,,,canonical_only,,,,,,,,,,,,unavailable,,EIGEN-USD,,,0,0,csv/quotes/EIGEN.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
EOS,eos,#000000,S,2.67,3.14,2.74,2.79,3.15,3.24,3.27,3.36,2.83,3.25,0.42,0,rex resource exchange yield,layer1,669458021.0,670361488.0,670361488.0,900000000,34.44,0.346,0.3656,0.3656,0.65,5.66,77.79,78.0,83.8,15.71,85.43,443.79,3888215.0,14041172.0,80000000,1385000000,3.0,3.06,-44.17,-53.56,1.064,1.492,1.206,1.142,0.724,0.677,30.1,-2.92,75.9,0.25,0.087,0.98,3.32,0,3.878,0.07,27.93,yield_data.csv,29,0.02175,11.25,67.73646113,2.27,,,canonical_only,,,,,,,,,,,,unavailable,,EOS-USD,,,0,0,csv/quotes/EOS.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ETH,ethereum,#627eea,E,3.41,3.53,3.38,3.48,3.76,3.82,3.89,3.8,3.45,3.82,0.37,0,native validator staking with MEV,layer1,175516037820.0,196248929362.0,196248929362.0,229956157440,31.02,1235.4,1345.68,1345.68,1907.14,8.93,41.72,75.06,65.44,8319.39,5725.47,-31.18,587877353.0,3455762997.0,44840000000,120682144,0.5,2.5,-63.24,-67.61,1.932,2.781,1.078,1.052,0.832,0.76,50.7,-18.86,-13.06,0.19,0.073,-1.97,3.43,0,5.837,-0.19,38.54,yield_data.csv,3,0.01387,5.12837104,25.36653003,5.79,csv/table-1786043383034.csv,ETH-USD,source_snapshot,1786043306,229956157440,1907.14,-0.4426755,8254918656,12804199251,4953.733,1506.5057,120682144,https://www.ethereum.org/,CCC,source_snapshot,csv/table-1786043383034.csv,ETH-USD,1786043306,2026-08-06T19:08:26Z,83,98.8,csv/quotes/ETH.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ETHFI,ether.fi,#3b82f6,F,2.52,2.74,2.53,2.71,2.69,2.95,3.01,2.94,2.62,2.9,0.28,0,liquid restaking eETH yield,defi,431602512.0,401988769.0,401988769.0,520000000,20.48,0.603,0.6835,0.6835,0.85,13.35,24.36,96.0,106.59,19.75,13.12,-33.57,2382198.0,8973146.0,5190000000,612000000,0.0,1.63,-85.28,-39.15,0.646,0.844,1.273,1.168,0.552,0.797,48.4,10.82,-25.45,0.18,0.066,2.92,3.07,1,2.721,0.25,16.16,yield_data.csv,43,0.01188,0.1001926782,160.7690403,-0.02,,,canonical_only,,,,,,,,,,,,unavailable,,ETHFI-USD,,,0,0,csv/quotes/ETHFI.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
FIL,filecoin,#0090ff,F,4.59,4.61,5.17,4.63,5.48,5.63,4.98,5.86,4.75,5.49,0.74,0,storage provider collateral yield,storage,2382265045.0,3450000993.0,3450000993.0,3200000000,34.33,3.77,3.85,3.85,4.85,2.12,25.97,80.0,76.77,37.21,189.72,409.86,14205910.0,53841054.0,800000000,660000000,15.0,3.03,-46.04,-22.06,3.438,4.546,1.288,1.311,0.691,0.587,54.3,6.69,71.69,0.47,0.154,2.36,5.44,0,7.151,0.86,62.14,yield_data.csv,24,0.07238,4,21.75093709,3.13,,,canonical_only,,,,,,,,,,,,unavailable,,FIL-USD,,,0,0,csv/quotes/FIL.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
FLOW,flow,#00ef8b,W,4.35,4.09,4.07,4.67,4.46,4.6,4.55,4.68,4.29,4.57,0.28,0,epoch-based staking rewards,nft,654103841.0,736391369.0,736391369.0,950000000,45.24,0.2794,0.3,0.3,0.52,7.37,73.33,102.0,111.91,28.12,69.15,145.91,2795411.0,10859482.0,90000000,1830000000,3.5,0.68,-49.86,-76.29,2.245,2.296,1.316,1.257,0.475,0.594,44.4,0.97,32.38,0.23,0.071,3.91,4.48,0,4.084,-0.68,37.81,yield_data.csv,37,0.01633,10.55555556,64.14353659,0.66,,,canonical_only,,,,,,,,,,,,unavailable,,FLOW-USD,,,0,0,csv/quotes/FLOW.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
FTM,fantom,#1969ff,F,4.4,5.08,4.66,4.54,4.88,5.1,4.69,5.11,4.67,4.95,0.28,0,sonic consensus staking,layer1,1841484118.0,2216439006.0,2216439006.0,2200000000,19.47,0.4588,0.4865,0.4865,0.58,6.04,19.22,65.0,62.85,54.02,111.78,106.92,4784669.0,27486786.0,350000000,3800000000,4.5,0.84,-55.66,-46.57,4.108,4.694,1.24,1.262,0.694,0.849,64.6,-18.69,-11.67,0.26,0.056,-1.6,5.4,1,7.876,0.07,57.63,yield_data.csv,33,0.01456,6.285714286,16.60289732,6.55,,,canonical_only,,,,,,,,,,,,unavailable,,FTM-USD,,,0,0,csv/quotes/FTM.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
GLMR,moonbeam,#53cbc8,G,9.57,10.63,10.46,8.87,9.48,10.19,9.68,10.31,9.88,9.91,0.03,0,parachain collator staking,layer1,160274131.0,239870403.0,239870403.0,280000000,74.7,0.1131,0.1416,0.1416,0.18,25.2,27.12,78.0,72.77,4.68,12.3,162.82,142667.0,3031635.0,35000000,1550000000,10.0,1.28,-47.76,-46.34,10.103,10.87,1.139,1.087,0.796,0.682,36.0,4.85,41.97,0.56,0.003,0.12,10.7,1,13.618,-0.18,100,yield_data.csv,40,0.00168,8,7.625117755,9.79,,,canonical_only,,,,,,,,,,,,unavailable,,GLMR-USD,,,0,0,csv/quotes/GLMR.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
GRT,the-graph,#6747ed,G,5.6,4.74,4.78,4.86,5.34,5.94,5.88,5.9,5.0,5.77,0.77,0,indexer delegation rewards,infrastructure,1237897139.0,1633444404.0,1633444404.0,1700000000,37.33,0.0928,0.0822,0.0822,0.18,-11.42,118.98,75.0,86.23,28.23,167.94,494.9,5032640.0,18940355.0,180000000,9440000000,3.0,1.03,-24.86,-23.83,4.0,4.372,1.273,1.103,0.432,0.519,55.0,-4.57,-18.64,0.49,0.14,1.73,6.82,1,6.691,0.61,59.62,yield_data.csv,51,0.0686,9.444444444,25.10768298,4.04,,,canonical_only,,,,,,,,,,,,unavailable,,GRT-USD,,,0,0,csv/quotes/GRT.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
HYPE,hyperliquid,#ffd700,H,3.1,2.6,2.61,2.73,2.96,3.21,3.14,3.44,2.76,3.19,0.43,0,validator staking with fee discounts,layer1,2202382786.0,3182471639.0,3182471639.0,3800000000,72.54,6.47,7.8,7.8,11.5,20.56,47.44,65.0,73.07,44.73,379.45,748.31,8065288.0,3575017.0,782190000,330000000,3.0,3.03,-46.78,-50.82,1.169,1.629,1.233,1.367,0.712,0.655,43.6,2.45,46.67,0.28,0.085,1.68,3.48,1,4.366,0.62,30.88,yield_data.csv,48,0.0238,4.858154668,55.30712707,1.51,,,canonical_only,,,,,,,,,,,,unavailable,,HYPE-USD,,,0,0,csv/quotes/HYPE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ICP,internet-computer,#3b00b9,I,9.04,10.17,9.75,9.2,8.63,9.32,8.71,9.11,9.54,8.94,-0.6,0,neuron governance staking,layer1,3570094811.0,5322621356.0,5322621356.0,5200000000,45.65,5.06,6.37,6.37,6.85,25.89,7.54,65.0,58.39,115.18,437.95,280.23,19548052.0,42605812.0,250000000,759000000,8.0,3.02,-38.65,-17.96,11.6,11.886,1.007,1.055,0.753,0.876,30.6,12.88,45.81,0.48,-0.103,-1.93,10.06,1,15.311,-0.33,100,yield_data.csv,50,-0.04944,20.8,4.946889618,10.87,,,canonical_only,,,,,,,,,,,,unavailable,,ICP-USD,,,0,0,csv/quotes/ICP.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
INJ,injective,#00a3ff,I,7.88,9.69,10.06,8.23,8.75,9.3,9.13,9.41,8.96,9.15,0.19,0,cosmos-sdk PoS with exchange fees,defi,1333137563.0,1242731734.0,1242731734.0,2200000000,65.02,10.45,9.85,9.85,18.5,-5.74,87.82,80.0,83.39,62.44,135.12,116.4,425915.0,9892602.0,450000000,119000000,7.0,0.84,-39.42,-45.34,8.7,8.574,1.34,1.439,0.539,0.631,58.6,-18.19,-39.09,0.69,0.073,-2.24,9.88,1,10.973,-0.37,99.96,yield_data.csv,22,0.05037,4.888888889,13.03272685,11.39,,,canonical_only,,,,,,,,,,,,unavailable,,INJ-USD,,,0,0,csv/quotes/INJ.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
JTO,jito,#9945ff,J,5.17,4.95,5.19,5.03,4.68,4.81,5.05,5.16,5.08,4.92,-0.16,0,jitoSOL MEV-enhanced staking,defi,258716962.0,299985372.0,299985372.0,380000000,46.88,1.14,1.23,1.23,2.15,7.89,74.8,96.0,92.2,7.5,23.26,210.13,1141534.0,5843700.0,350000000,177000000,0.0,5.65,-85.28,-33.73,3.208,3.167,1.295,1.378,0.683,0.752,64.1,-5.12,-29.34,0.17,-0.013,-1.44,4.78,0,5.336,0.22,38.7,yield_data.csv,44,-0.00221,1.085714286,37.70097884,6.36,,,canonical_only,,,,,,,,,,,,unavailable,,JTO-USD,,,0,0,csv/quotes/JTO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
KAVA,kava,#ff564f,K,10.85,9.04,11.2,10.71,10.0,10.96,9.71,10.78,10.45,10.36,-0.09,0,hard protocol + tendermint staking,defi,257226967.0,384532470.0,384532470.0,380000000,47.73,0.2749,0.2438,0.2438,0.42,-11.31,72.27,96.0,95.3,16.35,37.93,131.99,785794.0,3275668.0,180000000,905000000,10.0,1.17,-69.62,-50.69,8.802,8.772,1.327,1.267,0.542,0.764,54.1,15.6,-9.02,0.7,0.017,3.41,11.89,1,10.871,-0.63,100,yield_data.csv,35,0.0119,2.111111111,14.41667807,6.95,,,canonical_only,,,,,,,,,,,,unavailable,,KAVA-USD,,,0,0,csv/quotes/KAVA.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
LDO,lido,#00a3ff,D,1.88,1.59,1.64,1.69,2.01,1.81,2.02,2.41,1.7,2.06,0.36,0,stETH liquid staking passthrough,defi,1182731261.0,1270374640.0,1270374640.0,1450000000,22.6,0.82,0.72,0.72,1.55,-12.2,115.28,80.0,88.01,77.54,63.18,-18.52,5882291.0,22098539.0,19790000000,935000000,0.0,1.07,-67.4,-46.09,-0.375,0.068,1.423,1.388,0.53,0.721,34.8,-17.52,63.88,0.25,0.08,-1.02,2.04,0,2.341,-0.01,10.79,yield_data.csv,45,0.02,0.07326932794,1841.738676,3.08,,,canonical_only,,,,,,,,,,,,unavailable,,LDO-USD,,,0,0,csv/quotes/LDO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
LINK,chainlink,#2a5ada,L,2.9,3.18,2.71,3.19,3.39,2.98,3.21,3.67,3.0,3.31,0.31,0,oracle node staking v0.2,oracle,4467832716.0,5556096685.0,5556096685.0,6164938752,37.98,6.88,7.42,7.42,8.24,7.85,11.05,70.0,79.73,217.04,429.97,98.11,5131187.0,63032512.0,200000000,748099968,0.0,1.34,-21.49,-52.94,1.429,1.643,1.05,0.975,0.412,0.628,61.5,-12.7,-4.85,0.28,0.078,1.33,3.31,0,4.152,-0.65,22.07,yield_data.csv,14,0.02184,30.82469376,50.95343883,1.98,csv/table-1786043428259.csv,LINK-USD,source_snapshot,1786043326,6164938752,8.24,0.74581087,192158624,327226371,27.735258,7.022404,748099968,https://chain.link/,CCC,source_snapshot,csv/table-1786043428259.csv,LINK-USD,1786043326,2026-08-06T19:08:46Z,83,98.8,csv/quotes/LINK.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
