symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row
APT,aptos,#1d4ed8,T,6.39,6.64,6.36,6.23,6.91,7.14,7.52,7.4,6.41,7.24,0.83,0,Move-based PoS with deflationary tokenomics,layer1,3679816398.0,3874789950.0,3874789950.0,5500000000,49.46,2.12,1.83,1.83,3.85,-13.68,110.38,65.0,60.65,169.73,205.83,21.27,8843924.0,103895737.0,300000000,1428000000,4.5,0.7,-41.97,-44.38,6.785,8.64,1.166,1.219,0.84,0.768,40.6,8.49,50.54,0.46,0.173,-0.46,7.99,1,11.937,1.31,100,yield_data.csv,12
TAO,bittensor,#0a0a0a,O,8.93,10.13,9.43,9.87,9.8,9.89,9.2,10.24,9.59,9.78,0.19,0,staking-secured AI subnet rewards,ai,2672959910.0,2778562233.0,2778562233.0,3200000000,19.72,3.36,3.55,3.55,4.25,5.65,19.72,90.0,81.93,102.49,221.27,115.89,8852921.0,30508310.0,150000000,753000000,5.0,0.03,-69.82,-46.51,8.433,9.496,1.306,1.356,0.446,0.718,68.0,16.62,60.21,0.43,0.069,2.62,11.25,1,11.937,-0.27,100,yield_data.csv,13
LINK,chainlink,#2a5ada,L,2.9,3.18,2.71,3.19,3.39,2.98,3.21,3.67,3.0,3.31,0.31,0,oracle node staking v0.2,oracle,4467832716.0,5556096685.0,5556096685.0,6164938752,37.98,6.88,7.42,7.42,8.24,7.85,11.05,70.0,79.73,217.04,429.97,98.11,5131187.0,63032512.0,200000000,748099968,0.0,1.34,-21.49,-52.94,1.429,1.643,1.05,0.975,0.412,0.628,61.5,-12.7,-4.85,0.28,0.078,1.33,3.31,0,4.152,-0.65,22.07,yield_data.csv,14
AAVE,aave,#b6509e,V,3.5,2.76,3.36,3.23,3.32,3.7,3.88,4.05,3.21,3.74,0.53,0,safety module staking rewards,defi,1528277509.0,1532145793.0,1532145793.0,1800000000,17.78,81.68,78.23,78.23,120.0,-4.22,53.39,80.0,80.94,39.21,162.74,315.05,4678581.0,31784853.0,15150000000,15000000,0.0,1.07,-54.31,-16.29,1.512,2.15,1.312,1.26,0.554,0.589,54.4,-14.31,78.2,0.38,0.126,0.88,4.4,1,4.621,-0.06,35.33,yield_data.csv,15
UNI,uniswap,#ff007a,N,2.59,2.62,2.38,2.83,2.42,2.75,3.04,3.08,2.6,2.82,0.22,0,governance fee-switch yield,defi,3090510682.0,3866813286.0,3866813286.0,4500000000,45.61,3.6,4.74,4.74,6.8,31.67,43.46,80.0,70.11,145.76,186.85,28.19,17004585.0,20692591.0,5500000000,660000000,2.0,1.52,-37.33,-36.5,0.75,1.17,1.3,1.459,0.681,0.764,46.1,-12.05,56.77,0.24,0.074,-1.24,3.14,1,4.022,0.2,26.71,yield_data.csv,16
ARB,arbitrum,#28a0f0,R,2.43,2.74,2.41,2.22,2.75,2.82,2.66,2.86,2.45,2.77,0.32,0,sequencer revenue share staking,layer2,4403816030.0,4809058417.0,4809058417.0,5500000000,24.89,0.91,1.02,1.02,1.15,12.09,12.75,75.0,67.02,245.5,192.03,-21.78,26744493.0,61984278.0,1540000000,4780000000,2.5,2.09,-24.91,-25.86,0.6,1.149,1.237,1.2,0.407,0.665,57.0,-4.84,41.5,0.22,0.052,4.38,3.29,1,4.133,-0.45,27.81,yield_data.csv,17
OP,optimism,#ff0420,P,2.35,2.28,2.08,2.16,2.3,2.66,2.7,2.53,2.22,2.55,0.33,0,governance staking with retro funding,layer2,2727170458.0,2867086324.0,2867086324.0,3800000000,39.34,0.89,1.1,1.1,1.45,23.6,31.82,75.0,73.08,178.86,210.73,17.82,16915566.0,25996013.0,1200000000,2620000000,2.0,1.64,-20.62,-24.79,0.293,0.753,1.136,1.256,0.481,0.455,38.4,0.57,-6.77,0.21,0.062,2.04,2.31,0,3.489,-0.21,17.49,yield_data.csv,18
NEAR,near,#00c08b,N,7.22,7.35,7.73,7.55,8.08,8.35,8.01,8.28,7.46,8.18,0.72,0,nightshade sharded PoS,layer1,3961582130.0,5257405193.0,5257405193.0,5500000000,38.83,2.92,3.46,3.46,3.95,18.49,14.16,65.0,57.36,129.17,278.63,115.71,5318654.0,80913732.0,800000000,1392000000,5.0,0.72,-59.09,-47.38,8.4,10.774,1.273,1.333,0.685,0.73,54.3,-8.51,65.99,0.4,0.156,3.71,7.3,0,14.261,0.48,100,yield_data.csv,19
SEI,sei,#9e1e1e,E,6.68,5.91,6.61,5.83,6.16,6.81,6.52,6.47,6.26,6.49,0.23,0,parallelized orderbook L1 staking,layer1,1245763857.0,1428287193.0,1428287193.0,2200000000,76.6,0.2195,0.2817,0.2817,0.42,28.34,49.09,65.0,68.14,73.92,176.21,138.38,3361818.0,21348106.0,350000000,5250000000,6.0,1.9,-20.18,-35.62,6.554,6.589,1.157,1.096,0.679,0.728,37.2,24.5,63.62,0.34,0.03,-1.61,6.28,0,9.525,-0.69,82.3,yield_data.csv,20
TIA,celestia,#7b2cbf,T,13.05,12.72,12.06,13.26,12.66,13.18,12.9,13.49,12.77,13.06,0.29,0,data availability sampling rewards,infrastructure,1982324421.0,2395062003.0,2395062003.0,2800000000,41.25,2.99,3.03,3.03,3.85,1.34,27.06,75.0,83.41,92.69,175.02,88.82,11790497.0,18431381.0,200000000,728000000,8.0,1.37,-68.61,-37.39,14.36,13.26,1.185,1.199,0.446,0.615,69.2,12.79,-24.25,0.41,0.08,3.53,14.41,1,15.658,0.7,100,yield_data.csv,21
INJ,injective,#00a3ff,I,7.88,9.69,10.06,8.23,8.75,9.3,9.13,9.41,8.96,9.15,0.19,0,cosmos-sdk PoS with exchange fees,defi,1333137563.0,1242731734.0,1242731734.0,2200000000,65.02,10.45,9.85,9.85,18.5,-5.74,87.82,80.0,83.39,62.44,135.12,116.4,425915.0,9892602.0,450000000,119000000,7.0,0.84,-39.42,-45.34,8.7,8.574,1.34,1.439,0.539,0.631,58.6,-18.19,-39.09,0.69,0.073,-2.24,9.88,1,10.973,-0.37,99.96,yield_data.csv,22
RENDER,render,#ff6b35,R,4.21,4.81,4.1,4.13,4.87,4.68,4.81,5.25,4.31,4.9,0.59,0,DePIN GPU compute staking,depin,1683362046.0,1741929245.0,1741929245.0,2800000000,66.33,4.49,4.39,4.39,5.35,-2.23,21.87,85.0,76.29,133.78,142.43,6.47,6005240.0,47985668.0,120000000,523000000,3.0,1.02,-61.2,-62.05,2.718,3.801,1.339,1.315,0.684,0.632,33.7,20.36,48.69,0.39,0.116,-2.07,4.44,0,6.423,0.02,50.66,yield_data.csv,23
FIL,filecoin,#0090ff,F,4.59,4.61,5.17,4.63,5.48,5.63,4.98,5.86,4.75,5.49,0.74,0,storage provider collateral yield,storage,2382265045.0,3450000993.0,3450000993.0,3200000000,34.33,3.77,3.85,3.85,4.85,2.12,25.97,80.0,76.77,37.21,189.72,409.86,14205910.0,53841054.0,800000000,660000000,15.0,3.03,-46.04,-22.06,3.438,4.546,1.288,1.311,0.691,0.587,54.3,6.69,71.69,0.47,0.154,2.36,5.44,0,7.151,0.86,62.14,yield_data.csv,24
XTZ,tezos,#0d61ff,Z,4.95,4.82,5.39,5.03,5.14,4.92,5.18,5.11,5.05,5.09,0.04,0,"liquid baking delegation, no lock-up",layer1,799768805.0,753502316.0,753502316.0,1100000000,37.54,0.86,1.02,1.02,1.05,18.6,2.94,65.0,62.78,45.55,70.26,54.25,2543169.0,10587224.0,180000000,1048000000,4.5,1.05,-55.17,-17.9,4.692,4.922,1.032,0.906,0.734,0.709,68.9,13.7,-31.46,0.17,0.019,1.82,4.69,0,8.108,-0.91,61.23,yield_data.csv,25
ALGO,algorand,#00a4d8,G,3.47,3.06,3.22,3.07,3.63,3.62,3.54,3.74,3.21,3.63,0.42,0,governance participation rewards,layer1,1206796029.0,1389408764.0,1389408764.0,1500000000,24.3,0.1208,0.1459,0.1459,0.18,20.78,23.37,65.0,63.8,78.41,97.52,24.37,4459849.0,14562683.0,120000000,8330000000,3.0,1.2,-16.96,-50.96,1.862,2.555,1.115,0.959,0.716,0.682,39.6,3.46,-7.92,0.25,0.072,0.45,4.1,1,5.69,0.88,34.41,yield_data.csv,26
TRX,tron,#ff060a,R,3.52,3.86,3.2,3.39,3.47,3.51,3.68,3.93,3.49,3.65,0.16,0,super representative voting rewards,payments,5716513748.0,5507260567.0,5507260567.0,9800000000,71.43,0.1016,0.1108,0.1108,0.12,9.06,8.3,55.0,46.85,158.82,365.81,130.33,39317468.0,103311172.0,5110000000,81650000000,-2.0,3.28,-16.85,-14.34,2.709,3.522,1.073,0.982,0.653,0.691,52.5,20.47,25.96,0.23,0.035,-2.72,4.4,1,7.791,-0.81,46.65,yield_data.csv,27
XLM,stellar,#14b6e8,M,1.56,1.41,1.61,1.62,1.65,1.79,1.81,2.03,1.55,1.82,0.27,1,annualized from inflation pool snapshots,payments,1579492061.0,1507868070.0,1507868070.0,2800000000,77.27,0.0655,0.0666,0.0666,0.09,1.68,35.14,55.0,46.87,87.11,52.38,-39.87,12957622.0,4253466.0,50000000,31100000000,1.0,1.61,-39.44,-25.6,-0.818,-0.384,0.964,0.969,0.562,0.599,32.1,-4.16,24.41,0.18,0.07,0.71,1.75,0,3.883,0.75,6.19,yield_data.csv,28
EOS,eos,#000000,S,2.67,3.14,2.74,2.79,3.15,3.24,3.27,3.36,2.83,3.25,0.42,0,rex resource exchange yield,layer1,669458021.0,670361488.0,670361488.0,900000000,34.44,0.346,0.3656,0.3656,0.65,5.66,77.79,78.0,83.8,15.71,85.43,443.79,3888215.0,14041172.0,80000000,1385000000,3.0,3.06,-44.17,-53.56,1.064,1.492,1.206,1.142,0.724,0.677,30.1,-2.92,75.9,0.25,0.087,0.98,3.32,0,3.878,0.07,27.93,yield_data.csv,29
NEO,neo,#58bf00,O,2.88,3.19,3.07,3.12,2.98,3.17,3.22,3.38,3.06,3.19,0.13,0,neo/gas dual-token staking,layer1,564478921.0,738389702.0,738389702.0,750000000,32.87,7.33,7.58,7.58,10.5,3.41,38.52,78.0,78.73,44.15,33.09,-25.05,2770808.0,10737997.0,60000000,71500000,2.0,1.4,-50.18,-27.85,1.359,1.511,1.141,1.292,0.752,0.766,56.5,-14.91,-24.74,0.14,0.045,1.9,3.14,0,4.052,0.02,21.55,yield_data.csv,30
VET,vechain,#15bdff,V,2.46,2.34,2.22,2.61,2.36,2.79,2.64,3.16,2.41,2.74,0.33,0,authority masternode rewards,enterprise,1229674535.0,1157067129.0,1157067129.0,1800000000,46.38,0.014,0.0142,0.0142,0.022,1.43,54.93,65.0,70.25,76.63,154.12,101.12,2325645.0,26673552.0,90000000,80900000000,2.0,1.07,-34.04,-27.24,0.631,1.053,0.944,0.85,0.584,0.459,38.5,11.46,45.51,0.28,0.094,3.08,2.79,0,3.9,-0.47,24.2,yield_data.csv,31
THETA,theta,#2ab8e6,H,2.73,2.68,2.91,3.08,3.2,3.18,3.42,3.37,2.85,3.29,0.44,0,guardian node staking,media,926742242.0,1373865566.0,1373865566.0,1300000000,40.28,0.8,0.85,0.85,1.08,6.25,27.06,80.0,90.13,28.51,75.71,165.56,305978.0,16200255.0,110000000,1200000000,2.5,0.83,-30.42,-27.72,1.062,1.431,1.229,1.259,0.533,0.563,49.9,-17.34,-3.14,0.26,0.108,-2.71,3.56,1,3.65,0.43,22.75,yield_data.csv,32
FTM,fantom,#1969ff,F,4.4,5.08,4.66,4.54,4.88,5.1,4.69,5.11,4.67,4.95,0.28,0,sonic consensus staking,layer1,1841484118.0,2216439006.0,2216439006.0,2200000000,19.47,0.4588,0.4865,0.4865,0.58,6.04,19.22,65.0,62.85,54.02,111.78,106.92,4784669.0,27486786.0,350000000,3800000000,4.5,0.84,-55.66,-46.57,4.108,4.694,1.24,1.262,0.694,0.849,64.6,-18.69,-11.67,0.26,0.056,-1.6,5.4,1,7.876,0.07,57.63,yield_data.csv,33
ONE,harmony,#00aee9,H,6.9,6.5,6.25,6.34,6.69,6.94,6.96,7.59,6.5,7.04,0.54,0,effective proof-of-stake,layer1,407427094.0,609564234.0,609564234.0,550000000,34.99,0.0201,0.0221,0.0221,0.028,9.95,26.7,78.0,73.82,29.88,12.77,-57.26,208057.0,3795502.0,25000000,19600000000,8.0,0.64,-27.34,-44.09,5.769,6.827,1.03,0.908,0.805,0.851,52.2,1.86,31.33,0.4,0.114,-2.0,7.02,0,9.537,0.82,79.76,yield_data.csv,34
KAVA,kava,#ff564f,K,10.85,9.04,11.2,10.71,10.0,10.96,9.71,10.78,10.45,10.36,-0.09,0,hard protocol + tendermint staking,defi,257226967.0,384532470.0,384532470.0,380000000,47.73,0.2749,0.2438,0.2438,0.42,-11.31,72.27,96.0,95.3,16.35,37.93,131.99,785794.0,3275668.0,180000000,905000000,10.0,1.17,-69.62,-50.69,8.802,8.772,1.327,1.267,0.542,0.764,54.1,15.6,-9.02,0.7,0.017,3.41,11.89,1,10.871,-0.63,100,yield_data.csv,35
ROSE,oasis,#0092f6,O,9.0,8.32,8.77,8.66,8.78,8.5,9.34,9.47,8.69,9.02,0.33,0,paratime validator rewards,privacy,334480933.0,449871298.0,449871298.0,520000000,55.46,0.0534,0.0512,0.0512,0.075,-4.12,46.48,108.0,105.38,5.76,34.74,503.13,1383374.0,3054339.0,30000000,6940000000,7.0,1.44,-80.17,-79.08,6.194,6.662,1.212,1.369,0.618,0.583,44.3,3.27,74.32,0.37,0.092,-0.51,10.61,1,8.559,0.46,89.29,yield_data.csv,36
FLOW,flow,#00ef8b,W,4.35,4.09,4.07,4.67,4.46,4.6,4.55,4.68,4.29,4.57,0.28,0,epoch-based staking rewards,nft,654103841.0,736391369.0,736391369.0,950000000,45.24,0.2794,0.3,0.3,0.52,7.37,73.33,102.0,111.91,28.12,69.15,145.91,2795411.0,10859482.0,90000000,1830000000,3.5,0.68,-49.86,-76.29,2.245,2.296,1.316,1.257,0.475,0.594,44.4,0.97,32.38,0.23,0.071,3.91,4.48,0,4.084,-0.68,37.81,yield_data.csv,37
MINA,mina,#ff6038,M,7.39,7.73,7.62,7.68,8.51,8.46,7.83,8.18,7.61,8.25,0.64,0,snark-based PoS consensus,layer1,275218510.0,276849712.0,276849712.0,480000000,74.41,0.2843,0.4012,0.4012,0.38,41.12,-5.28,78.0,88.79,13.78,11.41,-17.2,1479364.0,4978416.0,40000000,1260000000,8.0,2.54,-34.53,-23.84,7.192,7.039,1.126,0.996,0.85,0.859,61.8,-16.77,30.71,0.38,0.112,2.88,8.35,1,9.292,0.93,91.11,yield_data.csv,38
CELO,celo,#fbcc5c,C,4.81,4.27,5.02,4.54,5.15,5.03,5.33,5.19,4.66,5.18,0.52,0,proof-of-stake with stability mechanism,payments,348279702.0,400100934.0,400100934.0,420000000,20.59,0.3038,0.3748,0.3748,0.55,23.37,46.74,66.0,75.61,8.96,20.48,128.57,122506.0,3831428.0,55000000,764000000,5.0,1.31,-41.76,-54.45,4.03,4.206,0.932,0.97,0.635,0.536,61.2,15.83,11.57,0.33,0.102,-0.84,5.86,1,6.851,0.23,48.55,yield_data.csv,39
GLMR,moonbeam,#53cbc8,G,9.57,10.63,10.46,8.87,9.48,10.19,9.68,10.31,9.88,9.91,0.03,0,parachain collator staking,layer1,160274131.0,239870403.0,239870403.0,280000000,74.7,0.1131,0.1416,0.1416,0.18,25.2,27.12,78.0,72.77,4.68,12.3,162.82,142667.0,3031635.0,35000000,1550000000,10.0,1.28,-47.76,-46.34,10.103,10.87,1.139,1.087,0.796,0.682,36.0,4.85,41.97,0.56,0.003,0.12,10.7,1,13.618,-0.18,100,yield_data.csv,40
PENDLE,pendle,#1e293b,P,5.92,6.2,5.46,6.16,5.72,5.87,5.63,6.49,5.94,5.93,-0.01,0,yield tokenization protocol staking,defi,674788701.0,1007759677.0,1007759677.0,950000000,40.78,2.39,3.37,3.37,3.85,41.0,14.24,96.0,102.3,30.9,88.69,187.02,4360414.0,2965697.0,250000000,247000000,0.0,1.04,-53.07,-78.09,4.104,3.842,1.485,1.58,0.552,0.581,68.7,16.99,-31.38,0.32,0.023,-0.47,5.82,0,5.797,-0.97,50.07,yield_data.csv,41
EIGEN,eigenlayer,#1a1a2e,E,3.58,3.68,3.04,3.19,3.62,3.59,3.9,3.4,3.37,3.63,0.26,0,restaking AVS rewards,infrastructure,574832460.0,587040028.0,587040028.0,680000000,18.3,1.04,1.08,1.08,1.45,3.85,34.26,90.0,83.33,45.19,58.65,29.79,2333019.0,7383560.0,7250000000,469000000,5.0,3.56,-59.43,-18.92,1.522,1.956,1.253,1.281,0.548,0.656,57.6,-17.2,38.14,0.26,0.023,3.99,3.44,1,4.356,-0.65,33.05,yield_data.csv,42
ETHFI,ether.fi,#3b82f6,F,2.52,2.74,2.53,2.71,2.69,2.95,3.01,2.94,2.62,2.9,0.28,0,liquid restaking eETH yield,defi,431602512.0,401988769.0,401988769.0,520000000,20.48,0.603,0.6835,0.6835,0.85,13.35,24.36,96.0,106.59,19.75,13.12,-33.57,2382198.0,8973146.0,5190000000,612000000,0.0,1.63,-85.28,-39.15,0.646,0.844,1.273,1.168,0.552,0.797,48.4,10.82,-25.45,0.18,0.066,2.92,3.07,1,2.721,0.25,16.16,yield_data.csv,43
JTO,jito,#9945ff,J,5.17,4.95,5.19,5.03,4.68,4.81,5.05,5.16,5.08,4.92,-0.16,0,jitoSOL MEV-enhanced staking,defi,258716962.0,299985372.0,299985372.0,380000000,46.88,1.14,1.23,1.23,2.15,7.89,74.8,96.0,92.2,7.5,23.26,210.13,1141534.0,5843700.0,350000000,177000000,0.0,5.65,-85.28,-33.73,3.208,3.167,1.295,1.378,0.683,0.752,64.1,-5.12,-29.34,0.17,-0.013,-1.44,4.78,0,5.336,0.22,38.7,yield_data.csv,44
LDO,lido,#00a3ff,D,1.88,1.59,1.64,1.69,2.01,1.81,2.02,2.41,1.7,2.06,0.36,0,stETH liquid staking passthrough,defi,1182731261.0,1270374640.0,1270374640.0,1450000000,22.6,0.82,0.72,0.72,1.55,-12.2,115.28,80.0,88.01,77.54,63.18,-18.52,5882291.0,22098539.0,19790000000,935000000,0.0,1.07,-67.4,-46.09,-0.375,0.068,1.423,1.388,0.53,0.721,34.8,-17.52,63.88,0.25,0.08,-1.02,2.04,0,2.341,-0.01,10.79,yield_data.csv,45
RPL,rocketpool,#e16f3a,R,2.09,2.32,2.11,2.36,2.53,2.52,2.52,2.72,2.22,2.57,0.35,0,rETH decentralized staking,defi,330211861.0,399778171.0,399778171.0,480000000,45.36,1.39,1.8,1.8,1.85,29.5,2.78,96.0,103.68,7.72,40.0,418.13,968800.0,1761293.0,800000000,260000000,0.0,0.07,-85.64,-61.32,0.229,0.55,1.321,1.344,0.502,0.69,32.8,19.78,77.62,0.2,0.081,-2.66,2.54,0,2.479,0.65,13.14,yield_data.csv,46
MNDE,marinade,#00d4aa,M,4.96,4.92,6.03,5.43,5.26,5.94,5.94,5.97,5.33,5.78,0.45,0,mSOL liquid staking on solana,defi,100938840.0,93194248.0,93194248.0,120000000,18.88,0.079,0.0766,0.0766,0.12,-3.04,56.66,96.0,90.58,7.98,6.67,-16.42,418159.0,1670270.0,150000000,1000000000,0.0,1.24,-50.91,-58.88,3.469,4.173,1.456,1.63,0.576,0.61,33.3,-19.77,-36.59,0.44,0.14,1.09,6.95,1,6.381,0.88,49.0,yield_data.csv,47
HYPE,hyperliquid,#ffd700,H,3.1,2.6,2.61,2.73,2.96,3.21,3.14,3.44,2.76,3.19,0.43,0,validator staking with fee discounts,layer1,2202382786.0,3182471639.0,3182471639.0,3800000000,72.54,6.47,7.8,7.8,11.5,20.56,47.44,65.0,73.07,44.73,379.45,748.31,8065288.0,3575017.0,782190000,330000000,3.0,3.03,-46.78,-50.82,1.169,1.629,1.233,1.367,0.712,0.655,43.6,2.45,46.67,0.28,0.085,1.68,3.48,1,4.366,0.62,30.88,yield_data.csv,48
ONDO,ondo,#1a3c6e,O,1.49,1.98,1.56,1.74,2.01,2.19,2.18,2.07,1.69,2.11,0.42,1,annualized from rwa tokenization yield,rwa,743435630.0,833156550.0,833156550.0,1100000000,47.96,0.85,0.79,0.79,1.05,-7.06,32.91,60.0,61.51,53.53,72.51,35.46,5037151.0,21674524.0,1400000000,1048000000,0.0,9.54,-52.0,-38.22,-0.517,0.179,0.891,0.848,0.478,0.721,32.3,-2.21,76.01,0.25,0.086,3.53,1.93,0,3.43,0.17,17.51,yield_data.csv,49
