symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score
APT,aptos,#1d4ed8,T,7.35,6.87,7.39,7.89,7.43,7.36,8.45,8.01,7.38,7.81,0.43,0,Move-based PoS with deflationary tokenomics,layer1,3852588354.0,3296677831.0,3296677831.0,4901755101.0,27.23,1411.9,1951.41,1951.41,2652.66,38.21,35.94,86.73,104.18,426.11,352.34,-17.31,4882047.0,47554895.0,864461278.0,16751993.0,3.84,1.9,-32.96,-41.3,1.146,1.264,1.504,1.139,0.422,0.708,32.7,20.75,112.07,2.9,1.588,4.13,9.36,1,7.497,-0.35,5.5
TAO,bittensor,#0a0a0a,O,9.35,9.28,9.38,10.2,10.65,10.36,10.08,10.61,9.55,10.43,0.88,0,staking-secured AI subnet rewards,ai,2547352638.0,3096317685.0,3096317685.0,3042987802.0,19.46,2218.69,3104.58,3104.58,2681.63,39.93,-13.62,48.03,97.9,199.3,287.39,44.2,4779937.0,19091035.0,1967466859.0,10815323.0,8.95,1.71,-40.44,-15.93,1.698,0.801,0.766,0.546,0.685,0.799,33.1,-3.28,46.59,1.44,1.932,-2.55,12.19,1,10.654,1.36,7.3
LINK,chainlink,#2a5ada,L,4.04,3.3,4.0,3.83,2.96,3.96,4.07,4.04,3.79,3.76,-0.03,0,oracle node staking v0.2,oracle,7136038731.0,7573666664.0,7573666664.0,10506773502.0,47.24,2706.43,3754.94,3754.94,5998.92,38.74,59.76,45.25,71.3,270.9,946.48,249.38,861493.0,44370903.0,3113055176.0,17764160.0,8.94,1.01,-33.73,-28.93,0.149,0.209,1.254,0.639,0.94,0.626,68.7,14.06,20.99,2.27,1.119,-0.48,4.9,1,5.273,0.23,3.25
AAVE,aave,#b6509e,V,3.63,4.23,3.38,3.9,4.24,4.99,5.05,4.47,3.79,4.69,0.9,0,safety module staking rewards,defi,1547185896.0,1843885124.0,1843885124.0,2163910385.0,39.86,1756.15,1491.9,1491.9,2139.81,-15.05,43.43,40.27,69.59,79.22,255.19,222.13,1168937.0,16317601.0,664832080.0,7302540.0,13.42,4.26,-57.86,-30.54,0.03,2.361,0.708,1.258,0.527,0.799,45.5,17.13,21.06,0.79,1.358,3.54,4.03,0,6.739,0.86,9.07
UNI,uniswap,#ff007a,N,3.0,2.49,3.66,3.59,3.06,3.62,3.73,3.33,3.19,3.44,0.25,0,governance fee-switch yield,defi,3312055293.0,4208264513.0,4208264513.0,4909653816.0,48.24,436.51,513.39,513.39,526.59,17.61,2.57,93.33,74.9,107.06,285.5,166.67,2317417.0,20122118.0,219558153.0,14612783.0,9.46,2.52,-48.96,-54.45,2.226,2.496,1.734,1.234,0.655,0.47,42.6,-1.78,107.66,2.62,-0.474,2.27,3.17,0,4.593,0.08,8.59
ARB,arbitrum,#28a0f0,R,3.92,3.56,3.95,3.55,3.2,3.74,3.52,4.76,3.75,3.81,0.06,0,sequencer revenue share staking,layer2,5195093945.0,6437244292.0,6437244292.0,7631775837.0,46.9,2667.61,2676.27,2676.27,2350.09,0.32,-12.19,48.19,39.67,546.47,419.17,-23.29,138051.0,10540289.0,2040905462.0,6261279.0,8.71,1.36,-49.62,-36.79,-0.466,0.015,0.862,0.741,0.601,0.695,33.5,-2.62,50.82,2.58,1.203,2.27,4.25,0,9.604,0.02,2.62
OP,optimism,#ff0420,P,3.61,3.53,2.69,2.29,3.75,3.99,3.1,3.73,3.03,3.64,0.61,0,governance staking with retro funding,layer2,3096413094.0,3768722776.0,3768722776.0,5627081933.0,81.73,2965.2,3991.98,3991.98,5362.88,34.63,34.34,55.48,57.79,249.76,299.34,19.85,4422139.0,41964140.0,240085328.0,10310091.0,-1.63,4.64,-27.69,-46.73,0.096,0.603,1.579,0.94,0.442,0.381,45.5,-12.42,75.53,2.42,1.205,4.96,3.62,0,6.299,0.14,2.48
NEAR,near,#00c08b,N,8.06,9.17,9.18,8.16,9.02,9.26,9.07,9.95,8.64,9.32,0.68,0,nightshade sharded PoS,layer1,3615414619.0,4017526323.0,4017526323.0,4399426325.0,21.69,954.15,957.74,957.74,944.21,0.38,-1.41,94.33,99.08,135.34,235.25,73.82,4739990.0,43589450.0,1592252791.0,8273743.0,-0.19,3.74,-25.74,-33.34,0.129,1.377,1.137,1.065,0.815,0.504,68.7,4.54,49.42,2.99,0.314,7.96,10.02,1,9.407,-0.05,7.53
SEI,sei,#9e1e1e,E,6.88,6.54,7.06,7.37,6.94,7.22,8.19,7.93,6.96,7.57,0.61,0,parallelized orderbook L1 staking,layer1,1141195672.0,1284591930.0,1284591930.0,1911280402.0,67.48,2186.36,1921.27,1921.27,2808.74,-12.12,46.19,74.42,34.89,98.9,46.8,-52.68,3958081.0,47054535.0,210253593.0,6083612.0,7.19,2.6,-37.86,-20.58,-0.339,0.313,0.615,1.205,0.618,0.661,26.5,-6.16,18.27,2.04,0.664,4.71,7.23,0,21.697,0.46,5.53
TIA,celestia,#7b2cbf,T,13.9,14.03,13.39,13.56,14.11,14.56,14.28,14.41,13.72,14.34,0.62,0,data availability sampling rewards,infrastructure,1432218399.0,1222802781.0,1222802781.0,1169969908.0,-18.31,1758.24,2149.95,2149.95,3139.12,22.28,46.01,50.43,90.54,52.11,52.5,0.75,4091449.0,21199724.0,536865637.0,16828997.0,0.9,2.01,-63.4,-21.78,-0.024,2.973,0.991,0.965,0.857,0.752,73.4,10.17,30.48,3.33,1.017,-3.81,17.42,1,15.838,-0.36,10.58
INJ,injective,#00a3ff,I,10.06,10.96,10.32,11.4,11.48,10.69,11.04,11.7,10.69,11.23,0.54,0,cosmos-sdk PoS with exchange fees,defi,1463054999.0,1766497324.0,1766497324.0,2249300795.0,53.74,474.62,428.71,428.71,570.54,-9.67,33.08,46.36,105.84,173.08,53.91,-68.85,4856419.0,32444818.0,1075714838.0,15999564.0,2.88,2.64,-15.48,-35.97,2.16,2.474,1.083,0.652,0.816,0.669,73.5,3.24,57.37,2.2,1.827,3.71,11.47,0,10.61,0.53,10.9
RENDER,render,#ff6b35,R,4.54,4.41,5.7,5.11,5.27,5.79,5.97,5.38,4.94,5.6,0.66,0,DePIN GPU compute staking,depin,1768790540.0,1809421535.0,1809421535.0,2525177318.0,42.76,1576.43,1762.74,1762.74,1628.3,11.82,-7.63,51.57,32.98,139.77,73.56,-47.37,4616679.0,28262459.0,600815017.0,13263913.0,7.77,3.06,-38.93,-13.01,2.195,0.143,0.547,0.601,0.648,0.495,73.6,14.96,-28.62,2.23,-0.201,7.53,6.52,1,16.98,-0.27,2.65
FIL,filecoin,#0090ff,F,5.36,5.89,5.88,5.95,6.57,6.66,7.18,6.27,5.77,6.67,0.9,0,storage provider collateral yield,storage,2664937057.0,2694589702.0,2694589702.0,3874795944.0,45.4,2071.52,2154.43,2154.43,2661.94,4.0,23.56,85.91,63.51,183.6,377.56,105.64,2220688.0,38462500.0,1309230240.0,12220488.0,6.21,1.07,-62.27,-29.7,-0.398,1.236,0.596,0.765,0.639,0.502,46.6,14.41,-35.79,2.23,0.8,7.39,5.64,0,10.502,0.66,4.39
XTZ,tezos,#0d61ff,Z,4.34,4.24,5.08,4.1,4.43,4.89,5.01,4.98,4.44,4.83,0.39,0,liquid baking delegation,layer1,584313852.0,546351781.0,546351781.0,624611337.0,6.9,333.62,288.05,288.05,458.71,-13.66,59.25,59.06,30.46,23.18,33.82,45.9,4011987.0,26283599.0,428960679.0,2606491.0,0.85,5.1,-25.93,-50.74,1.909,1.556,1.659,1.105,0.323,0.897,73.9,12.75,94.54,1.95,1.835,7.44,6.03,1,15.857,-1.04,7.09
ALGO,algorand,#00a4d8,G,3.1,4.18,3.41,4.08,3.86,3.41,4.7,4.65,3.69,4.16,0.47,0,governance participation rewards,layer1,1306090838.0,1140879723.0,1140879723.0,1089145143.0,-16.61,1955.78,1892.17,1892.17,1618.71,-3.25,-14.45,72.06,33.49,146.91,31.88,-78.3,3518484.0,27371767.0,601572766.0,10817170.0,7.18,3.23,-17.66,-28.19,1.11,1.231,0.739,0.517,0.551,0.401,58.7,-7.86,-2.1,2.09,0.762,-0.62,4.47,0,12.422,-0.32,3.8
TRX,tron,#ff060a,R,5.0,4.93,4.81,3.72,4.53,4.36,4.73,4.47,4.62,4.52,-0.1,0,super representative voting rewards,payments,5895730162.0,6026410312.0,6026410312.0,8127807676.0,37.86,391.31,533.81,533.81,799.12,36.42,49.7,81.74,95.82,397.58,895.25,125.17,3449220.0,16187451.0,2483478326.0,3192033.0,-1.97,2.71,-63.29,-34.91,0.756,1.57,1.117,0.892,0.783,0.687,57.5,-5.48,20.36,1.08,0.259,3.78,5.02,1,4.717,-0.73,5.23
XLM,stellar,#14b6e8,M,1.56,2.53,1.37,2.2,2.0,2.11,2.9,3.0,1.92,2.5,0.58,1,annualized from inflation pool snapshots,payments,1825000691.0,2438601081.0,2438601081.0,2695947898.0,47.72,2208.87,2713.96,2713.96,3507.61,22.87,29.24,49.56,67.72,208.39,266.76,28.01,2537929.0,33140679.0,246102548.0,3416309.0,8.42,2.4,-35.39,-23.59,0.833,0.675,0.611,1.197,0.303,0.685,29.8,18.28,31.01,0.52,0.463,-1.44,3.47,1,3.692,-0.38,5.26
EOS,eos,#000000,S,3.59,3.85,2.95,3.17,4.36,4.05,4.15,4.55,3.39,4.28,0.89,0,rex resource exchange yield,layer1,640292536.0,781038484.0,781038484.0,895277048.0,39.82,889.68,878.91,878.91,857.92,-1.21,-2.39,71.74,32.45,26.46,99.27,275.17,3577226.0,38021265.0,225721218.0,17484965.0,9.3,1.75,-20.08,-29.72,1.305,1.827,0.952,1.178,0.497,0.659,73.5,12.74,15.62,3.25,0.106,1.61,3.94,0,13.19,0.15,5.28
NEO,neo,#58bf00,O,2.79,3.63,3.5,4.06,3.39,4.5,3.6,3.87,3.5,3.84,0.34,0,neo/gas dual-token staking,layer1,460760150.0,490826934.0,490826934.0,612689234.0,32.97,1334.76,1368.25,1368.25,1672.92,2.51,22.27,38.55,54.57,10.88,59.77,449.36,1720327.0,14967537.0,166112435.0,19696440.0,8.7,3.41,-56.47,-55.54,0.357,1.894,1.74,1.057,0.841,0.55,44.5,-6.18,27.4,1.67,1.057,6.82,4.61,1,7.037,-0.76,6.34
VET,vechain,#15bdff,V,2.65,2.78,2.08,1.89,3.27,2.65,3.21,3.39,2.35,3.13,0.78,0,authority masternode rewards,enterprise,1276746692.0,1636528991.0,1636528991.0,2322264269.0,81.89,87.9,82.77,82.77,81.21,-5.84,-1.88,72.07,67.83,129.47,177.9,37.41,988076.0,1650597.0,144827101.0,2928473.0,1.69,1.55,-45.07,-41.25,2.481,1.767,0.983,0.853,0.883,0.405,28.3,-1.33,-15.89,2.31,-0.251,-3.63,3.99,1,4.614,-0.47,5.71
THETA,theta,#2ab8e6,H,3.37,3.63,3.54,4.2,3.45,4.21,3.79,4.12,3.69,3.89,0.2,0,guardian node staking,media,1073142211.0,1231133249.0,1231133249.0,1200070118.0,11.83,1039.62,924.89,924.89,1109.59,-11.04,19.97,86.29,37.96,128.57,148.13,15.21,2146741.0,47367127.0,127031681.0,14029299.0,5.19,5.46,-37.09,-14.82,0.927,2.166,1.797,0.948,0.578,0.389,60.6,5.96,27.94,1.42,-0.078,6.14,4.49,1,10.248,-0.88,6.51
FTM,fantom,#1969ff,F,5.27,4.68,4.71,5.4,4.79,5.4,6.2,6.35,5.01,5.69,0.68,0,sonic consensus staking,layer1,2041225770.0,2537134846.0,2537134846.0,3341196884.0,63.69,1095.0,1370.34,1370.34,1586.67,25.15,15.79,73.02,76.23,166.93,205.45,23.08,4296325.0,43350793.0,577833071.0,15091141.0,8.28,1.82,-35.95,-13.57,1.329,1.44,0.806,1.312,0.865,0.469,71.6,14.11,30.68,1.45,0.793,7.38,6.19,0,7.464,-0.56,5.61
ONE,harmony,#00aee9,H,8.32,8.54,8.62,9.69,9.76,9.91,9.44,9.34,8.79,9.61,0.82,0,effective proof-of-stake,layer1,426814804.0,491022651.0,491022651.0,541392377.0,26.84,955.02,1291.82,1291.82,1716.03,35.27,32.84,74.66,62.48,26.65,43.33,62.59,1912866.0,5414572.0,140623371.0,16650272.0,5.32,4.06,-44.22,-38.19,0.575,2.21,0.941,0.886,0.463,0.623,43.0,3.64,56.51,3.06,0.235,7.68,10.9,1,15.381,1.09,8.43
KAVA,kava,#ff564f,K,13.03,12.83,12.68,13.28,12.98,12.36,13.48,13.01,12.96,12.96,0.0,0,hard protocol + tendermint staking,defi,241395159.0,241399060.0,241399060.0,342511128.0,41.89,2129.08,1706.11,1706.11,1729.5,-19.87,1.37,39.67,44.12,21.94,48.49,121.01,4806953.0,27031182.0,30740535.0,12638011.0,6.77,3.78,-29.45,-16.97,0.755,0.085,1.797,1.499,0.816,0.391,54.5,14.4,22.1,0.74,1.925,2.3,11.18,0,29.374,-1.04,5.09
ROSE,oasis,#0092f6,O,10.26,10.7,9.41,9.38,9.83,10.51,10.33,10.88,9.94,10.39,0.45,0,paratime validator rewards,privacy,427561449.0,482448753.0,482448753.0,675805511.0,58.06,1323.84,1798.4,1798.4,2087.92,35.85,16.1,43.97,81.17,50.67,28.01,-44.72,2016122.0,2536335.0,166766924.0,11908569.0,11.96,2.98,-46.8,-48.08,0.362,2.277,1.515,0.973,0.475,0.772,51.2,-8.97,11.42,2.74,1.224,-4.6,9.7,0,12.8,0.02,7.13
FLOW,flow,#00ef8b,W,5.1,4.28,4.96,4.37,5.04,5.69,5.77,5.01,4.68,5.38,0.7,0,epoch-based staking rewards,nft,685092270.0,607913899.0,607913899.0,909819638.0,32.8,1101.46,1323.97,1323.97,1399.88,20.2,5.73,48.13,57.21,20.06,81.95,308.52,600549.0,27221504.0,388636036.0,9815681.0,3.91,4.53,-21.88,-18.88,1.157,1.954,0.946,1.147,0.606,0.459,63.0,22.52,35.79,3.21,0.988,3.1,4.83,0,9.404,-0.76,7.64
MINA,mina,#ff6038,M,8.88,8.64,8.21,9.43,9.46,9.16,9.89,9.81,8.79,9.58,0.79,0,snark-based PoS consensus,layer1,438251947.0,448145166.0,448145166.0,654877369.0,49.43,2156.52,2338.2,2338.2,3604.05,8.42,54.14,90.03,42.15,28.67,88.82,209.8,4746372.0,35714177.0,90223316.0,3347374.0,14.45,4.7,-18.59,-26.55,0.396,2.906,1.383,1.416,0.902,0.516,46.8,20.05,64.67,3.3,-0.472,7.8,9.13,0,22.728,0.04,10.08
CELO,celo,#fbcc5c,C,5.88,5.22,5.32,6.61,6.78,6.5,7.0,6.85,5.76,6.78,1.02,0,proof-of-stake with stability mechanism,payments,240362476.0,321929146.0,321929146.0,451653087.0,87.9,2049.19,2304.04,2304.04,3022.13,12.44,31.17,37.56,97.36,18.65,37.94,103.43,3441657.0,34529054.0,23247573.0,13371680.0,12.85,1.91,-61.88,-37.52,1.074,2.332,1.152,1.339,0.714,0.856,64.4,2.34,109.34,0.47,0.996,1.14,8.2,1,6.964,0.57,7.52
GLMR,moonbeam,#53cbc8,G,11.94,11.9,12.19,13.14,13.16,13.38,13.58,12.9,12.29,13.26,0.97,0,parachain collator staking,layer1,213230707.0,273160587.0,273160587.0,402765593.0,88.89,793.01,750.01,750.01,764.39,-5.42,1.92,47.46,108.9,14.08,43.92,211.93,650228.0,37026271.0,95024327.0,7671258.0,4.69,4.61,-47.13,-49.47,1.604,0.695,0.831,0.974,0.575,0.599,46.6,-11.42,20.14,1.48,0.038,2.07,14.04,1,12.176,-0.07,8.41
PENDLE,pendle,#1e293b,P,6.35,6.11,7.2,7.36,6.94,7.34,6.94,8.02,6.75,7.31,0.56,0,yield tokenization protocol staking,defi,643773457.0,649351124.0,649351124.0,862672399.0,34.0,2194.76,2818.92,2818.92,4199.68,28.44,48.98,54.84,37.11,25.4,47.31,86.26,442142.0,8872936.0,380690835.0,5284436.0,3.25,2.83,-57.08,-13.97,0.322,2.872,1.64,0.819,0.36,0.376,66.7,16.11,13.78,2.89,1.402,6.55,8.46,1,19.698,-0.43,9.47
EIGEN,eigenlayer,#1a1a2e,E,4.58,4.76,4.5,4.61,3.73,4.73,4.4,5.27,4.61,4.53,-0.08,0,restaking AVS rewards,infrastructure,373933160.0,446077095.0,446077095.0,433366341.0,15.89,165.95,218.95,218.95,226.69,31.94,3.54,54.54,76.17,19.35,21.39,10.54,3090048.0,13582736.0,209272226.0,18297209.0,7.62,2.23,-39.05,-33.15,1.053,2.069,1.438,1.343,0.384,0.808,44.9,-7.83,114.11,2.28,0.51,2.26,4.5,0,5.947,-0.7,6.25
ETHFI,ether.fi,#3b82f6,F,3.73,3.83,3.75,2.88,3.89,3.23,4.3,4.43,3.55,3.96,0.41,0,liquid restaking eETH yield,defi,421424366.0,564740188.0,564740188.0,522813094.0,24.06,940.8,826.63,826.63,715.68,-12.14,-13.42,38.08,31.41,48.2,40.61,-15.75,301824.0,37631589.0,208931758.0,10362267.0,14.5,1.17,-37.65,-21.17,0.435,2.952,1.068,1.263,0.751,0.405,46.0,13.42,96.57,3.17,0.264,-1.9,3.91,0,12.607,0.9,7.75
JTO,jito,#9945ff,J,4.81,5.76,5.19,4.94,5.9,5.37,5.28,5.63,5.17,5.54,0.37,0,jitoSOL MEV-enhanced staking,defi,271405299.0,359282243.0,359282243.0,334085953.0,23.09,916.58,1079.66,1079.66,920.5,17.79,-14.74,35.42,43.33,10.77,25.93,140.76,477920.0,21600311.0,33636899.0,18258743.0,1.03,3.66,-60.7,-15.76,2.495,1.082,0.459,1.275,0.809,0.792,68.1,2.97,-36.74,1.39,0.747,4.39,6.1,1,12.786,-0.37,3.96
LDO,lido,#00a3ff,D,1.73,2.58,2.75,1.65,2.47,2.33,3.18,2.79,2.18,2.69,0.51,0,stETH liquid staking passthrough,defi,1558920651.0,1377728828.0,1377728828.0,1965220745.0,26.06,571.23,625.36,625.36,925.41,9.48,47.98,94.4,84.74,46.89,146.48,212.39,1870644.0,43733062.0,236189522.0,12094897.0,12.91,3.7,-60.75,-57.32,2.275,1.895,1.059,0.875,0.469,0.865,27.8,0.81,114.69,2.91,-0.259,1.48,3.25,1,3.174,-0.03,8.55
RPL,rocketpool,#e16f3a,R,3.35,2.03,3.4,2.14,3.51,2.82,2.78,3.32,2.73,3.11,0.38,0,rETH decentralized staking,defi,410165167.0,467951986.0,467951986.0,476173659.0,16.09,1646.69,1407.36,1407.36,1477.27,-14.53,4.97,62.31,108.79,36.24,51.7,42.66,847152.0,13352349.0,271026171.0,15237490.0,4.91,4.64,-40.85,-19.82,-0.425,1.875,1.256,1.579,0.31,0.767,60.8,-9.64,75.35,0.79,-0.113,4.71,3.0,0,2.859,0.55,5.93
MNDE,marinade,#00d4aa,M,6.37,5.7,6.17,6.02,6.16,6.54,6.31,7.0,6.06,6.5,0.44,0,mSOL liquid staking on solana,defi,88683103.0,118747584.0,118747584.0,162747000.0,83.52,2048.27,2368.52,2368.52,3255.33,15.64,37.44,37.65,34.82,10.63,5.8,-45.44,4929423.0,29438945.0,41338087.0,1208687.0,0.08,1.54,-60.5,-14.51,-0.184,0.462,1.275,0.877,0.416,0.687,69.4,2.48,111.32,3.46,0.677,7.23,8.2,1,18.667,-0.89,5.28
HYPE,hyperliquid,#ffd700,H,2.95,4.43,3.81,4.1,4.34,4.4,4.19,3.98,3.82,4.23,0.41,0,validator staking with fee discounts,layer1,1426277671.0,1577005732.0,1577005732.0,1509674176.0,5.85,2566.36,2673.34,2673.34,2491.28,4.17,-6.81,40.63,72.29,77.8,42.14,-45.84,257206.0,8406115.0,299452138.0,8687332.0,10.95,3.61,-45.07,-27.38,0.28,0.117,0.814,0.935,0.507,0.533,28.3,19.76,79.39,0.68,1.326,7.75,3.47,0,5.851,0.52,5.27
ONDO,ondo,#1a3c6e,O,2.76,2.23,2.2,3.06,3.06,2.71,2.87,3.14,2.56,2.95,0.39,1,annualized from rwa tokenization yield,rwa,715045080.0,633187964.0,633187964.0,842511816.0,17.83,2627.85,2850.49,2850.49,4473.44,8.47,56.94,42.44,91.0,75.75,41.65,-45.02,3167926.0,3728082.0,217432001.0,7976077.0,8.11,3.5,-35.32,-37.09,1.817,0.772,0.705,0.926,0.327,0.873,71.6,-9.21,16.13,0.8,0.386,-2.94,3.13,0,3.242,-0.55,2.19
